DateTime, Status, PartCt, PartCon, BL, BLTH, STD, P, TofP, POPS_Flow, PumpFB, LDTemp, LaserFB, LD_Mon, Temp, BatV, Laser_Current, Flow_Set,PumpLife_hrs, BL_Start, TH_Mult, nbins, logmin, logmax, Skip_Save, MinPeakPts,MaxPeakPts, RawPts,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99
1636650786.438,1,625,177.57,2158,2187,9.56,847.91,12.61,3.52,307.00,41.33,513.00,1395.00,14.25,12.72,2.87,2.83,320.60,30000,3.0,100,1.75,4.82,0,5,255,512,22,23,31,20,18,18,18,19,19,15,19,18,14,18,18,13,17,9,4,9,10,7,11,8,13,6,7,1,2,3,1,4,3,7,3,7,3,0,2,3,4,4,3,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1636650787.478,1,629,394.69,2158,2185,9.25,847.96,12.61,1.59,308.00,41.24,515.00,1395.00,14.34,12.64,2.87,2.83,320.60,30000,3.0,100,1.75,4.82,0,5,255,512,20,16,13,16,14,13,16,17,15,15,19,22,20,13,14,15,9,14,14,14,10,5,4,12,5,10,5,6,6,6,3,2,4,0,3,4,6,3,3,2,2,1,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1636650788.437,1,558,153.92,2158,2185,9.17,848.16,12.61,3.63,306.00,41.19,514.00,1386.00,14.34,13.35,2.87,2.83,320.60,30000,3.0,100,1.75,4.82,0,5,255,512,30,15,22,17,13,17,20,16,22,17,15,8,8,17,7,12,17,16,11,12,14,5,4,8,5,10,5,4,4,4,7,5,8,4,4,5,1,3,0,3,3,5,6,4,2,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1636650789.438,1,629,371.73,2158,2184,8.63,848.14,12.61,1.69,307.00,41.15,515.00,1397.00,14.34,13.37,2.87,2.83,320.60,30000,3.0,100,1.75,4.82,0,5,255,512,23,17,18,20,21,15,21,11,24,14,12,14,14,22,18,11,8,10,11,13,6,3,12,5,7,4,3,7,8,5,7,5,4,5,4,4,3,4,2,4,3,3,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1636650790.438,1,593,166.81,2158,2187,9.55,848.10,12.61,3.55,307.00,41.24,512.00,1397.00,14.34,13.09,2.87,2.83,320.60,30000,3.0,100,1.75,4.82,0,5,255,512,15,28,26,25,17,21,24,11,26,14,11,19,12,12,12,9,13,9,12,9,11,9,6,8,14,11,1,8,7,4,5,3,6,8,5,2,1,7,5,5,3,1,3,1,1,0,0,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1636650791.438,1,647,187.56,2158,2188,9.94,848.18,12.60,3.45,307.00,41.24,515.00,1395.00,14.25,13.26,2.87,2.83,320.60,30000,3.0,100,1.75,4.82,0,5,255,512,14,17,23,28,22,16,11,14,25,14,18,15,11,9,13,11,12,21,12,9,11,8,8,3,7,7,5,9,7,2,5,4,6,3,7,3,3,8,3,3,5,1,2,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1636650792.438,1,608,248.75,2159,2187,9.31,848.22,12.60,2.44,307.00,41.37,512.00,1396.00,14.43,13.16,2.87,2.83,320.60,30000,3.0,100,1.75,4.82,0,5,255,512,21,10,21,15,23,14,17,19,11,14,11,10,11,13,13,20,13,12,12,8,11,6,7,3,8,6,9,6,4,8,5,5,6,5,6,5,1,3,2,1,4,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1636650793.438,1,560,142.58,2158,2185,8.94,848.12,12.60,3.93,306.00,41.19,513.00,1396.00,14.43,13.04,2.87,2.83,320.60,30000,3.0,100,1.75,4.82,0,5,255,512,26,24,19,21,15,15,21,18,16,14,9,19,13,12,6,13,15,14,17,10,6,9,9,5,9,6,6,4,9,8,1,4,7,11,7,5,1,2,1,3,3,1,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1636650794.438,1,616,269.04,2159,2186,8.96,848.07,12.59,2.29,309.00,41.19,514.00,1394.00,14.25,13.00,2.87,2.83,320.60,30000,3.0,100,1.75,4.82,0,5,255,512,28,11,16,21,15,15,22,18,21,17,17,20,11,19,10,12,6,12,16,12,7,7,10,7,9,7,8,8,5,2,3,6,5,3,5,1,3,3,3,2,5,2,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1636650795.438,1,608,159.37,2160,2187,9.01,848.32,12.59,3.82,307.00,41.28,514.00,1390.00,14.25,12.90,2.87,2.83,320.60,30000,3.0,100,1.75,4.82,0,5,255,512,25,29,18,14,19,17,21,21,22,17,21,12,10,14,14,12,13,11,7,4,8,13,4,9,5,7,5,5,5,4,5,3,3,4,1,4,5,3,1,0,2,3,0,3,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
